Announced,Implemented,,Addition,Addition Ticker,Removal,Removal Ticker,Removal Type,Reason for Removal
7/20/2000,7/27/2000,After Close,Palm Inc,PALM,3Com Corp,COMS,Other,Spins off large interest in Palm
8/7/2000,8/21/2000,After Close,KeySpan Corp,KSE,New Century Energies,NCE,M&A,Acquisition by Northern States Power
8/23/2000,8/29/2000,After Close,Devon Energy Corp,DVN,Great A & P,GAP,Failure,Market cap changes
9/25/2000,9/29/2000,After Close,Avaya Inc.,AV,Owens Corning,OWC,Failure,Lack of representation
9/25/2000,10/2/2000,After Close,Dynegy Inc,DYN,BestFoods Inc,BFO,M&A,Acquisition by Unilever
9/27/2000,10/3/2000,After Close,King Pharmaceuticals,KG,Young & Rubicam,YNR,M&A,Acquisition by WPP Group
10/3/2000,10/18/2000,After Close,Nabors Industries,NBR,Mallinckrodt Inc,MKG,M&A,Acquisition by Tyco International
10/12/2000,10/16/2000,After Close,Power-One Inc,PWER,Unicom Corp,UCM,M&A,Acquisition by PECO Energy
10/16/2000,10/23/2000,After Close,BroadVision Inc,BVSN,PaineWebber Group,PWJ,M&A,Acquisition by UBS
10/25/2000,11/1/2000,After Close,NiSource Inc,NI,Columbia Energy Group,CG,M&A,Acquisition by NiSource
10/31/2000,11/1/2000,After Close,EOG Resources,EOG,Eastern Enterprises,EFU,M&A,Acquisition by KeySpan Energy
11/14/2000,11/21/2000,After Close,Forest Laboratories,FRX,Seagate Technology,SEG,M&A,Acquisition by Veritas
11/15/2000,11/16/2000,After Close,Starwood Hotels & Resorts,HOT,Armstrong World,ACK,Failure,Lack of representation
11/20/2000,11/24/2000,After Close,Chiron Corp,CHIR,Fort James Corp,FJ,M&A,Acquisition by Georgia Pacific
11/27/2000,11/30/2000,After Close,Calpine Corp,CPN,Florida Progress,FPC,M&A,Acquisition by CP&L Energy
11/29/2000,12/11/2000,After Close,MetLife Inc,MET,Seagram Co. Ltd,VO,M&A,Acquisition by Vivendi
12/1/2000,12/1/2000,After Close,Robert Half International,RHI,Associates First Capital,AFS,M&A,Acquisition by Citigroup
12/4/2000,12/8/2000,After Close,Allegheny Energy Inc,AYE,Bethlehem Steel,BS,Failure,Lack of representation
12/4/2000,12/8/2000,After Close,Ambac Financial Group,ABK,Crown Cork & Seal,CCK,Failure,Lack of representation
12/4/2000,12/8/2000,After Close,"Intuit, Inc",INTU,Owens-Illinois,OI,Failure,Lack of representation
12/4/2000,12/8/2000,After Close,Symbol Technologies,SBL,Grace (W.R.) & Co. (New),GRA,Failure,Lack of representation
12/5/2000,12/11/2000,After Close,QLogic Corp,QLGC,Polaroid Corp,PRD,Failure,Market cap changes
12/5/2000,12/11/2000,After Close,Stryker Corp,SYK,Russell Corp,RML,Failure,Market cap changes
12/5/2000,12/11/2000,After Close,Vitesse Semiconductor,VTSS,Springs Industries Inc,SMI,Failure,Market cap changes
12/7/2000,12/13/2000,After Close,Aetna Inc. (New),AET,Aetna Inc. (Old),AET,Other,"Aetna (old) sells financials business, spins off U.S. healthcare division, which becomes Aetna (new)"
12/8/2000,12/12/2000,After Close,Kinder Morgan Inc,KMI,Nabisco Group Hldgs,NGH,M&A,Acquisition by RJ Reynolds
12/12/2000,12/21/2000,After Close,Fluor Corp.,FLR,Massey Energy,MEE,Other,Spins off Fluor
12/19/2000,12/29/2000,After Close,Applied Micro Circuits,AMCC,Morgan (J.P.) & Co,JPM,M&A,Acquisition by Chase Manhattan
12/19/2000,1/12/2001,After Close,Noble Drilling Corp,NE,Time Warner Inc,TWX,M&A,Acquisition by AOL
12/27/2000,1/30/2001,After Close,Jabil Circuit,JBL,Coastal Corp,CGP,M&A,Acquisition by El Paso
2/5/2001,2/7/2001,After Close,Univision Communications,UVN,Union Carbide,UK,M&A,Acquisition by Dow Chemical
2/21/2001,2/26/2001,After Close,Citizens Communications,CZN,U.S. Bancorp,USB,M&A,Acquisition by Firstar
2/27/2001,2/28/2001,After Close,Cintas Corporation,CTAS,Summit Bancorp,SUB,M&A,Acquisition by FleetBoston Financial Corp.
3/26/2001,3/30/2001,After Close,Concord EFS Inc,CEFT,Ceridian Corp,CEN,Other,Splits into Ceridian and Arbitron
3/27/2001,4/2/2001,After Close,Mirant Corporation,MIR,Briggs & Stratton,BGG,Failure,Market cap changes
3/27/2001,3/30/2001,After Close,FIserv Inc,FISV,Old Kent Financial,OK,M&A,Acquisition by Fifth Third Bancorp
5/7/2001,5/11/2001,After Close,Pepsi Bottling Group,PBG,"Adaptec, Inc",ADPT,Other,Spins off Roxio
5/22/2001,6/4/2001,After Close,TMP Worldwide,TMPW,"CIT Group, Inc",CIT,M&A,Acquisition by Tyco International
5/30/2001,6/27/2001,After Close,John Hancock Financial,JHF,Harcourt General Inc,H,M&A,Tender offer from Reed Elsevier
6/19/2001,6/22/2001,After Close,Zions Bancorp,ZION,ALZA Corp. Cl. A,AZA,M&A,Acquisition by Johnson & Johnson
6/25/2001,6/29/2001,After Close,Rockwell Collins,COL,Longs Drug Stores,LDG,Failure,Market cap changes
6/27/2001,7/6/2001,After Close,AT&T Wireless Services,AWE,Potlatch Corp,PCH,Failure,Market cap changes
7/30/2001,8/3/2001,After Close,Family Dollar Stores,FDO,Cabletron Systems,CS,Other,Spins off large interest in Riverstone Networks
7/31/2001,8/6/2001,After Close,Zimmer Holdings,ZMH,Timken Co,TKR,Failure,Market cap changes
8/1/2001,8/2/2001,After Close,PMC-Sierra Inc,PMCS,Quaker Oats,OAT,M&A,Acquisition by PepsiCo
8/22/2001,8/30/2001,After Close,CIENA Corp,CIEN,American General,AGC,M&A,Acquisition by AIG
8/27/2001,8/29/2001,After Close,AmerisourceBergen Corp,ABC,ONEOK Inc,OKE,Failure,Market cap changes
8/27/2001,9/4/2001,After Close,XL Capital,XL,Wachovia Corp,WB,M&A,Acquisition by First Union Corp
8/29/2001,8/31/2001,After Close,International Game Technology,IGT,BroadVision Inc,BVSN,Failure,Lack of representation
9/17/2001,9/20/2001,After Close,Immunex Corp,IMNX,Tosco Corp,TOS,M&A,Acquisition by Philips Petroleum
10/3/2001,10/9/2001,After Close,Equity Office Properties,EOP,Texaco Inc,TX,M&A,Acquisition by Chevron
10/4/2001,10/9/2001,After Close,TECO Energy,TE,Global Crossing Ltd,GX,Failure,Lack of representation
11/1/2001,11/6/2001,After Close,Health Management Assoc,HMA,GPU Inc,GPU,M&A,Acquisition by FirstEnergy Corp.
11/27/2001,11/30/2001,After Close,Equity Residential Prop Tr,EQR,National Service Ind,NSI,Other,Spins off Acuity Brands
11/28/2001,11/29/2001,After Close,NVIDIA Corp,NVDA,Enron Corp,ENE,Failure,Lack of representation
12/10/2001,12/14/2001,After Close,Jones Apparel Group,JNY,Homestake Mining,HM,M&A,Acquisition by Barrick Gold
12/12/2001,12/12/2001,After Close,Genzyme Corp,GENZ,Ralston-Ralston Purina Gp,RAL,M&A,Acquisition by Nestle
12/27/2001,12/31/2001,After Close,Waters Corporation,WAT,FMC Corp,FMC,Other,Spins off FMC Technologies
1/16/2002,1/16/2002,After Close,Plum Creek Timber Co.,PCL,Kmart,KM,Failure,Lack of representation
1/23/2002,1/29/2002,After Close,ACE Limited,ACE,Mead Corp,MEA,M&A,Merger with Westvaco
1/23/2002,1/31/2002,After Close,Rational Software,RATL,Niagara Mohawk Power,NMK,M&A,Acquisition by National Grid Group
2/6/2002,2/8/2002,After Close,Marshall & Ilsley Corp.,MI,Willamette Industries,WLL,M&A,Acquisition by Weyerhaeuser
5/2/2002,5/3/2002,After Close,First Tennessee National,FTN,COMPAQ Computer,CPQ,M&A,Acquisition by Hewlett-Packard
5/10/2002,5/10/2002,After Close,American Standard,ASD,Sapient Corp,SAPE,Failure,No longer meets standards of inclusion
5/13/2002,5/14/2002,After Close,BJ Services,BJS,USAirways Group Inc,U,Failure,Lack of representation
5/13/2002,5/14/2002,After Close,Apollo Group,APOL,WorldCom Inc.-WorldCom Group,WCOM,Failure,Lack of representation
6/20/2002,6/26/2002,After Close,"Simon Property Group, Inc",SPG,Conexant Systems,CNXT,Other,Reorganization
7/9/2002,7/19/2002,After Close,Prudential Financial,PRU,Alcan Inc,AL,Other,Not U.S. company
7/9/2002,7/19/2002,After Close,United Parcel Service,UPS,Barrick Gold Corp,ABX,Other,Not U.S. company
7/9/2002,7/19/2002,After Close,eBay Inc.,EBAY,"Inco, Ltd",N,Other,Not U.S. company
7/9/2002,7/19/2002,After Close,Electronic Arts,ERTS,Nortel Networks Corp Hldg Co,NT,Other,Not U.S. company
7/9/2002,7/19/2002,After Close,SunGard Data Systems,SDS,Placer Dome Inc,PDG,Other,Not U.S. company
7/9/2002,7/19/2002,After Close,Goldman Sachs Group,GS,Royal Dutch Petroleum,RD,Other,Not U.S. company
7/9/2002,7/19/2002,After Close,Principal Financial Group,PFG,Unilever N.V,UN,Other,Not U.S. company
7/12/2002,7/16/2002,After Close,North Fork Bancorporation,NFB,Immunex Corp,IMNX,M&A,Acquisition by Amgen
7/24/2002,7/24/2002,After Close,"Anthem, Inc.",ATH,Conseco Inc,CNC,Failure,Market cap changes
8/7/2002,8/13/2002,After Close,Monsanto Co.,MON,Palm Inc.,PALM,Failure,Market cap changes
8/14/2002,8/20/2002,After Close,Travelers Property Casualty Corp,TAP.B,Vitesse Semiconductor,VTSS,Failure,Market cap changes
8/30/2002,9/3/2002,After Close,RJ Reynolds Tobacco,RJR,Conoco Inc,COC,M&A,Merger with Philips
11/13/2002,11/18/2002,After Close,AT&T Comcast Corp.,CMCSA,Comcast Class A Special,CMCSK,M&A,"AT&T spins off broadband unit, merges it w/ Comcast to form AT&T Comcast"
12/4/2002,12/11/2002,After Close,Quest Diagnostics,DGX,TRW Inc,TRW,M&A,Acquisition by Northrop Grumman
2/19/2003,2/21/2003,After Close,AutoNation Inc.,AN,Rational Software,RATL,M&A,Acquisition by IBM
